is_match,tournament,round,player_1,deck_1,player_2,deck_2,playlist_id,original_title
True,YCS London 2018,Exhibition,AlexYuki,Unknown,Timmymon,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,Yu-Gi-Oh! Duel Links Exhibition: AlexYuki vs Timmymon
True,YCS London,Round 2,Jake Quinsee,Unknown,Sam Hill,Unknown,PLIm0Rt8gzRbsM_eU_TVTTh8GJPA1ZCF0Z,YCS London: Round 2 Feature Match
True,YCS London,Round 4,Michael Cipalz,Unknown,Marcello Barberi,Unknown,PLIm0Rt8gzRbsM_eU_TVTTh8GJPA1ZCF0Z,YCS London: Round 4 Feature Match
True,YCS London,Round 6,Paolo Pacchiana,Unknown,Mathew Wheelwright,Geargia,PLIm0Rt8gzRbsM_eU_TVTTh8GJPA1ZCF0Z,YCS London: Round 6 Feature Match
True,YCS London,Round 5,Federico Zoppini,Shaddoll,Peter Gross,Unknown,PLIm0Rt8gzRbsM_eU_TVTTh8GJPA1ZCF0Z,YCS London: Round 5 Feature Match
True,YCS Prague,Round 3,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbtuya5V5H6zeKwIlmbwyunI,YCS Prague: Round 3 Feature Match
True,2018 Yu-Gi-Oh! Duel Links World Championship,Unknown,Jason Chu,Unknown,Marjo Jahaj,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! Duel Links World Championship - Jason Chu vs Marjo Jahaj
True,2018 Yu-Gi-Oh! Duel Links World Championship,Unknown,Roy Svinik,Unknown,Ryoichi Kitahata,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! Duel Links World Championship - Roy Svinik vs Ryoichi Kitahata
True,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship,Unknown,Koizumi Yuto,Unknown,James English,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship - Koizumi Yuto vs James English
True,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship,Quarter-Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship - Quarter-Final
True,2018 Yu-Gi-Oh! TCG World Championship,Unknown,Walter Jule,Unknown,Seung-Chul Jung,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Walter Jule vs Seung-Chul Jung
